,feature name,importance
323,"28 2ary Auditory, Wernicke (BA22p)_PC 28 0",0.0003284068459343297
324,22 Premotor Medial (BA6m)_PE 40 3,0.00031657577427459787
325,4  Anterior Superior Parietal (BA5/BA7a)_FA 20 1,0.00031611266221225363
326,14 1ary Visual Posterior (BA17p)_PC 33 1,0.0002955524913478722
327,34 Dorsolateral Prefrontal (BA9)_PC 40 7,0.0002948460244816015
328,52 Amygdala_TG 58 7,0.0002939455064791957
329,53 Insular Posterior Cortex_PE 36 6,0.0002760869091683179
330,"28 2ary Auditory, Wernicke (BA22p)_DG 37 4",0.00027163383075359967
331,"28 2ary Auditory, Wernicke (BA22p)_PE 36 2",0.0002711188863207999
332,48 Cingulate Anterior (BA24)_Cer m44 2,0.00027056067792784785
333,53 Insular Posterior Cortex_SM d33 1,0.0002703735946837306
334,72 Internal Capsule_DG 34 1,0.0002695908058257861
335,34 Dorsolateral Prefrontal (BA9)_HexCer t43 2,0.00026933374059729857
336,"26 2ary Auditory, language (BA22a)_TG 52 2",0.00025758573435919705
337,70 Ventral Lateral Thalamus_PC 36 5,0.00024972641851313515
338,42 Cingulate Subcallosal (BA25)_HexCer d36 1,0.00024813305509620146
339,39 Frontopolar (BA10fp)_PC_P 38 5,0.00024762839894550506
340,"32 Ventrolateral Prefrontal, Broca (BA44)_SM d40 1",0.0002467999179717669
341,72 Internal Capsule_PC 42 3,0.0002466949090945814
342,72 Internal Capsule_PC_O 35 2,0.00024614524153571495
343,64 Globus Pallidus_PC 36 4,0.00024595085715882416
344,33 Anterior Inferior Temporal (BA20a)_FA 22 6,0.0002457164955222425
345,"28 2ary Auditory, Wernicke (BA22p)_PC_O 36 2",0.0002455951461399431
346,44 Dorsolateral Prefrontal (BA46)_PC_P 38 4,0.0002452334970832424
347,33 Anterior Inferior Temporal (BA20a)_PC_O 34 1,0.0002447809510990258
348,58 Putamen_HexCer t36 2,0.0002447020565774544
349,64 Globus Pallidus_HexCer d44 2,0.00024367138643511253
350,8  Cingulate Posterior (BA23a)_FA 16 1,0.0002373752584768902
351,61 Pulvinar Thalamus_PC_O 32 0,0.0002247271639853268
352,31 Supramarginal Posterior (BA40p)_PC 34 0,0.0002241671372106159
353,56 Nucleus Accumbens_CE 22 4,0.0002224419459122273
354,50 Orbitofrontal (BA11)_LPC 20 3,0.00022237568926236092
355,30 Premotor Anterior Lateral (BA6a)_PE 34 3,0.0002221849769732129
356,16 1ary Auditory (BA41/42)_PG 38 6,0.00022183889483577408
357,25 Posterior Inferior Temporal (BA20p)_FA 19 0,0.00022134843169873623
358,"28 2ary Auditory, Wernicke (BA22p)_LPE 24 4",0.00022126107966106734
359,36 FEF Medial (BA8m)_TG 54 5,0.00020303702482725894
360,63 Substantia Nigra_FA 22 4,0.0001975980186646399
361,73 Corpus Callosum Anterior_SM d38 1,0.0001975355932376208
362,23 Insular Anterior Cortex_PE 38 1,0.00019702634699350792
363,72 Internal Capsule_HexCer d40 1,0.00017575171471785383
364,"28 2ary Auditory, Wernicke (BA22p)_FA 18 1",0.00017552782124873232
365,53 Insular Posterior Cortex_SM d40 2,0.00017532362661979152
366,31 Supramarginal Posterior (BA40p)_LPE 24 4,0.00017352992481609964
367,72 Internal Capsule_PC_O 34 2,0.0001735161603378711
368,61 Pulvinar Thalamus_SM d44 2,0.0001735143371889558
369,72 Internal Capsule_PC 37 5,0.0001735112635005703
370,72 Internal Capsule_PE 39 6,0.00017348418196012382
371,48 Cingulate Anterior (BA24)_PC 46 2,0.00017340286831812226
372,48 Cingulate Anterior (BA24)_FA 26 1,0.00017336254500583613
373,"28 2ary Auditory, Wernicke (BA22p)_PC 37 2",0.00017333000517682581
374,"32 Ventrolateral Prefrontal, Broca (BA44)_HexCer d41 1",0.00017266214283304785
375,"28 2ary Auditory, Wernicke (BA22p)_PC 29 0",0.00017092618352744369
376,74 Corpus Callosum Posterior_TG 52 3,0.00015717783696793275
377,6  Anterior Middle Temporal (BA37-aMT)_PG 34 2,0.0001569835352070735
378,33 Anterior Inferior Temporal (BA20a)_PC 35 3,0.0001511826450183838
